Team,Phase of Play,Action,Quarter,Lane,Zone,Count
home,defensive transition,pass intercepted/fouled,fourth,2,4,0
home,defensive transition,pass intercepted/fouled,fourth,3,4,0
home,defensive transition,pass intercepted/fouled,fourth,4,4,0
home,defensive transition,pass intercepted/fouled,fourth,5,4,0
home,defensive transition,pass intercepted/fouled,fourth,1,3,0
home,defensive transition,pass intercepted/fouled,fourth,2,3,0
home,defensive transition,pass intercepted/fouled,fourth,3,3,0
home,defensive transition,pass intercepted/fouled,fourth,4,3,0
home,defensive transition,pass intercepted/fouled,fourth,5,3,0
home,defensive transition,pass intercepted/fouled,fourth,1,2,0
home,defensive transition,pass intercepted/fouled,fourth,2,2,0
home,defensive transition,pass intercepted/fouled,fourth,3,2,0
home,defensive transition,pass intercepted/fouled,fourth,4,2,0
home,defensive transition,pass intercepted/fouled,fourth,5,2,0
home,defensive transition,pass intercepted/fouled,fourth,1,1,0
home,defensive transition,pass intercepted/fouled,fourth,2,1,0
home,defensive transition,pass intercepted/fouled,fourth,3,1,2
home,defensive transition,pass intercepted/fouled,fourth,4,1,0
home,defensive transition,pass intercepted/fouled,fourth,5,1,0
